"Project Organization","Expenditure Month Year","Total Expenditure Amount","Expenditure Date"
"Educational Health Center of Wyoming","2024-12",308.34,2024-12-01
"Electrical & Computer Engineering","2021-07",7110.13,2021-07-01
"Electrical & Computer Engineering","2021-08",0,2021-08-01
"Electrical Engineering & Computer Science","2021-07",46068.78,2021-07-01
"Electrical Engineering & Computer Science","2021-08",20740.34,2021-08-01
"Electrical Engineering & Computer Science","2021-09",20768.88,2021-09-01
"Electrical Engineering & Computer Science","2021-10",13664.86,2021-10-01
"Electrical Engineering & Computer Science","2021-11",17214.39,2021-11-01
"Electrical Engineering & Computer Science","2021-12",3440.14,2021-12-01
"Electrical Engineering & Computer Science","2022-01",11812.36,2022-01-01
"Electrical Engineering & Computer Science","2022-02",11516.08,2022-02-01
"Electrical Engineering & Computer Science","2022-03",15350.69,2022-03-01
"Electrical Engineering & Computer Science","2022-04",20480.51,2022-04-01
"Electrical Engineering & Computer Science","2022-05",16415.74,2022-05-01
"Electrical Engineering & Computer Science","2022-06",40696.13,2022-06-01
"Electrical Engineering & Computer Science","2022-07",45469.46,2022-07-01
"Electrical Engineering & Computer Science","2022-08",32523.55,2022-08-01
"Electrical Engineering & Computer Science","2022-09",17019.95,2022-09-01
"Electrical Engineering & Computer Science","2022-10",6981.75,2022-10-01
"Electrical Engineering & Computer Science","2022-11",7290.88,2022-11-01
"Electrical Engineering & Computer Science","2022-12",10074.93,2022-12-01
"Electrical Engineering & Computer Science","2023-01",40737.82,2023-01-01
"Electrical Engineering & Computer Science","2023-02",10144.34,2023-02-01
"Electrical Engineering & Computer Science","2023-03",8555.61,2023-03-01
"Electrical Engineering & Computer Science","2023-04",13000.1,2023-04-01
"Electrical Engineering & Computer Science","2023-05",27467.5,2023-05-01
"Electrical Engineering & Computer Science","2023-06",21515.39,2023-06-01
"Electrical Engineering & Computer Science","2023-07",47181.56,2023-07-01
"Electrical Engineering & Computer Science","2023-08",35192.86,2023-08-01
"Electrical Engineering & Computer Science","2023-09",19978.18,2023-09-01
"Electrical Engineering & Computer Science","2023-10",10574.29,2023-10-01
"Electrical Engineering & Computer Science","2023-11",9538.86,2023-11-01
"Electrical Engineering & Computer Science","2023-12",17915.78,2023-12-01
"Electrical Engineering & Computer Science","2024-01",9101.17,2024-01-01
"Electrical Engineering & Computer Science","2024-02",23811.09,2024-02-01
"Electrical Engineering & Computer Science","2024-03",23597.49,2024-03-01
"Electrical Engineering & Computer Science","2024-04",23897.12,2024-04-01
"Electrical Engineering & Computer Science","2024-05",23544.9,2024-05-01
"Electrical Engineering & Computer Science","2024-06",30083.63,2024-06-01
"Electrical Engineering & Computer Science","2024-07",49995.21,2024-07-01
"Electrical Engineering & Computer Science","2024-08",32615.18,2024-08-01
"Electrical Engineering & Computer Science","2024-09",30404.67,2024-09-01
"Electrical Engineering & Computer Science","2024-10",14521.55,2024-10-01
"Electrical Engineering & Computer Science","2024-11",13546.68,2024-11-01
"Electrical Engineering & Computer Science","2024-12",13077.96,2024-12-01
"Electrical Engineering & Computer Science","2025-01",12451.58,2025-01-01
"Electrical Engineering & Computer Science","2025-02",13135.61,2025-02-01
"Electrical Engineering & Computer Science","2025-03",14138.35,2025-03-01
"Electrical Engineering & Computer Science","2025-04",25059.12,2025-04-01
"Electrical Engineering & Computer Science","2025-05",30722.44,2025-05-01
"Energy & Petroleum Engineering","2021-07",32854.5,2021-07-01
"Energy & Petroleum Engineering","2021-08",24244.01,2021-08-01
"Energy & Petroleum Engineering","2021-09",20658.9,2021-09-01
"Energy & Petroleum Engineering","2021-10",21930.61,2021-10-01
"Energy & Petroleum Engineering","2021-11",15508.39,2021-11-01
"Energy & Petroleum Engineering","2021-12",17540.18,2021-12-01
"Energy & Petroleum Engineering","2022-01",35927.93,2022-01-01
"Energy & Petroleum Engineering","2022-02",25745.27,2022-02-01
"Energy & Petroleum Engineering","2022-03",14698.5,2022-03-01
"Energy & Petroleum Engineering","2022-04",13901.46,2022-04-01
"Energy & Petroleum Engineering","2022-05",16447.08,2022-05-01
"Energy & Petroleum Engineering","2022-06",45158.76,2022-06-01
"Energy & Petroleum Engineering","2022-07",28248.88,2022-07-01
"Energy & Petroleum Engineering","2022-08",36149.17,2022-08-01
"Energy & Petroleum Engineering","2022-09",24041.59,2022-09-01
"Energy & Petroleum Engineering","2022-10",19447.77,2022-10-01
"Energy & Petroleum Engineering","2022-11",29094.04,2022-11-01
"Energy & Petroleum Engineering","2022-12",12001.4,2022-12-01
"Energy & Petroleum Engineering","2023-01",15459.63,2023-01-01
"Energy & Petroleum Engineering","2023-02",16949.61,2023-02-01
"Energy & Petroleum Engineering","2023-03",12300.69,2023-03-01
"Energy & Petroleum Engineering","2023-04",13397.19,2023-04-01
"Energy & Petroleum Engineering","2023-05",20216.34,2023-05-01
"Energy & Petroleum Engineering","2023-06",22317.2,2023-06-01
"Energy & Petroleum Engineering","2023-07",24133.81,2023-07-01
"Energy & Petroleum Engineering","2023-08",18451.64,2023-08-01
"Energy & Petroleum Engineering","2023-09",13004.45,2023-09-01
"Energy & Petroleum Engineering","2023-10",10438.43,2023-10-01
"Energy & Petroleum Engineering","2023-11",10023,2023-11-01
"Energy & Petroleum Engineering","2023-12",10261.76,2023-12-01
"Energy & Petroleum Engineering","2024-01",518.19,2024-01-01
"Energy & Petroleum Engineering","2024-02",3551,2024-02-01
"Energy & Petroleum Engineering","2024-03",4367.77,2024-03-01
"Energy & Petroleum Engineering","2024-04",3580.2,2024-04-01
"Energy & Petroleum Engineering","2024-05",10874.2,2024-05-01
"Energy & Petroleum Engineering","2024-06",897.87,2024-06-01
"Energy & Petroleum Engineering","2024-07",911.1,2024-07-01
"Energy & Petroleum Engineering","2024-08",4897.49,2024-08-01
"Energy & Petroleum Engineering","2024-09",1667.28,2024-09-01
"Energy & Petroleum Engineering","2024-10",1191.92,2024-10-01
"Energy & Petroleum Engineering","2024-11",1823.52,2024-11-01
"Energy & Petroleum Engineering","2024-12",1111.52,2024-12-01
"Energy & Petroleum Engineering","2025-01",358.49,2025-01-01
"Energy & Petroleum Engineering","2025-02",358.49,2025-02-01
"Energy & Petroleum Engineering","2025-03",497.1,2025-03-01
"Energy & Petroleum Engineering","2025-04",358.49,2025-04-01
"Energy & Petroleum Engineering","2025-05",4345.09,2025-05-01
"Engineering & Physical Sciences Deans Office","2022-05",9485.19,2022-05-01
"Engineering & Physical Sciences Deans Office","2022-06",3189.66,2022-06-01
"Engineering & Physical Sciences Deans Office","2022-07",3181.39,2022-07-01
"Engineering & Physical Sciences Deans Office","2022-08",3181.39,2022-08-01
"Engineering & Physical Sciences Deans Office","2022-09",2265.08,2022-09-01
"Engineering & Physical Sciences Deans Office","2023-11",369.3,2023-11-01
"Engineering & Physical Sciences Deans Office","2023-12",251.6,2023-12-01
"Engineering & Physical Sciences Deans Office","2024-01",689.59,2024-01-01
"Engineering & Physical Sciences Deans Office","2024-02",1012.5,2024-02-01
"Engineering & Physical Sciences Deans Office","2024-03",1558.56,2024-03-01
"Engineering & Physical Sciences Deans Office","2024-04",752.94,2024-04-01
"Engineering & Physical Sciences Deans Office","2024-05",937.28,2024-05-01
"Engineering & Physical Sciences Deans Office","2024-06",357.81,2024-06-01
"Engineering & Physical Sciences Deans Office","2024-07",1194.96,2024-07-01
"Engineering & Physical Sciences Deans Office","2024-08",1123.15,2024-08-01
"Engineering & Physical Sciences Deans Office","2024-09",418.36,2024-09-01
"English Language Center","2021-09",510,2021-09-01
"English Language Center","2022-06",5474,2022-06-01
"Enhanced Oil Recovery Institute","2021-07",6933.35,2021-07-01
"Enhanced Oil Recovery Institute","2021-08",5072.22,2021-08-01
"Enhanced Oil Recovery Institute","2021-09",34284.94,2021-09-01
"Enhanced Oil Recovery Institute","2021-10",6904.22,2021-10-01
"Enhanced Oil Recovery Institute","2021-11",5810.07,2021-11-01
"Enhanced Oil Recovery Institute","2021-12",5717.45,2021-12-01
"Enhanced Oil Recovery Institute","2022-01",67888.82,2022-01-01
"Enhanced Oil Recovery Institute","2022-02",39057.56,2022-02-01
"Enhanced Oil Recovery Institute","2022-03",3109.03,2022-03-01
"Enhanced Oil Recovery Institute","2022-04",29823.52,2022-04-01
"Enhanced Oil Recovery Institute","2022-05",6429.52,2022-05-01
"Enhanced Oil Recovery Institute","2022-06",2735.95,2022-06-01
"Enhanced Oil Recovery Institute","2022-07",2782.92,2022-07-01
"Enhanced Oil Recovery Institute","2022-08",7155.75,2022-08-01
"Enhanced Oil Recovery Institute","2022-09",202478.65,2022-09-01
"Enhanced Oil Recovery Institute","2022-10",254847.89,2022-10-01
"Enhanced Oil Recovery Institute","2022-11",4143.05,2022-11-01
"Enhanced Oil Recovery Institute","2022-12",2272.2,2022-12-01
"Enhanced Oil Recovery Institute","2023-01",12996.9,2023-01-01
"Enhanced Oil Recovery Institute","2023-02",3912.96,2023-02-01
"Enhanced Oil Recovery Institute","2023-03",3912.96,2023-03-01
"Enhanced Oil Recovery Institute","2023-04",164350.69,2023-04-01
"Enhanced Oil Recovery Institute","2023-05",4010.81,2023-05-01
"Enhanced Oil Recovery Institute","2023-06",-3467.63,2023-06-01
"Enhanced Oil Recovery Institute","2023-07",4310.6,2023-07-01
"Enhanced Oil Recovery Institute","2023-08",2895.51,2023-08-01
"Enhanced Oil Recovery Institute","2023-09",911.98,2023-09-01
"Enhanced Oil Recovery Institute","2023-10",4098.55,2023-10-01
"Enhanced Oil Recovery Institute","2023-11",55313.67,2023-11-01
"Enhanced Oil Recovery Institute","2023-12",1887.79,2023-12-01
"Enhanced Oil Recovery Institute","2024-01",2458.19,2024-01-01
"Enhanced Oil Recovery Institute","2024-02",3326.55,2024-02-01
"Enhanced Oil Recovery Institute","2024-03",2348.42,2024-03-01
"Enhanced Oil Recovery Institute","2024-04",1853.97,2024-04-01
"Enhanced Oil Recovery Institute","2024-05",2316.97,2024-05-01
"Enhanced Oil Recovery Institute","2024-06",852.44,2024-06-01
"Enhanced Oil Recovery Institute","2024-07",1432.92,2024-07-01
"Enhanced Oil Recovery Institute","2024-08",1467.55,2024-08-01
"Enhanced Oil Recovery Institute","2024-09",7407.44,2024-09-01
"Enhanced Oil Recovery Institute","2024-10",467.04,2024-10-01
"Enhanced Oil Recovery Institute","2024-11",467.04,2024-11-01
"Enhanced Oil Recovery Institute","2024-12",467.04,2024-12-01
"Enhanced Oil Recovery Institute","2025-01",1478.96,2025-01-01
"Enhanced Oil Recovery Institute","2025-02",194.59,2025-02-01
"Enhanced Oil Recovery Institute","2025-03",3834.58,2025-03-01
"Enhanced Oil Recovery Institute","2025-04",194.6,2025-04-01
"Enhanced Oil Recovery Institute","2025-05",994.62,2025-05-01
"Family & Consumer Sciences","2021-07",1016.92,2021-07-01
"Family & Consumer Sciences","2021-08",9128.35,2021-08-01
"Family & Consumer Sciences","2021-09",6510.14,2021-09-01
"Family & Consumer Sciences","2021-10",618.17,2021-10-01
"Family & Consumer Sciences","2021-11",2039.27,2021-11-01
"Family & Consumer Sciences","2021-12",1220.55,2021-12-01
"Family & Consumer Sciences","2022-01",482.17,2022-01-01
"Family & Consumer Sciences","2022-02",689.58,2022-02-01
"Family & Consumer Sciences","2022-03",689.58,2022-03-01
"Family & Consumer Sciences","2022-04",1350.23,2022-04-01
"Family & Consumer Sciences","2022-05",1855.56,2022-05-01
"Family & Consumer Sciences","2022-06",7032.53,2022-06-01
"Family & Consumer Sciences","2022-07",7042.21,2022-07-01
"Family & Consumer Sciences","2022-08",4341.39,2022-08-01
"Family & Consumer Sciences","2022-09",790.79,2022-09-01
"Family & Consumer Sciences","2022-10",607.34,2022-10-01
"Family & Consumer Sciences","2022-11",346.12,2022-11-01
"Family & Consumer Sciences","2022-12",402.03,2022-12-01
"Family & Consumer Sciences","2023-01",224.98,2023-01-01
"Family & Consumer Sciences","2023-02",5539.53,2023-02-01
"Family & Consumer Sciences","2023-03",4105.52,2023-03-01
"Family & Consumer Sciences","2023-04",1724.85,2023-04-01
"Family & Consumer Sciences","2023-05",2889.37,2023-05-01
"Family & Consumer Sciences","2023-06",3338.4,2023-06-01
"Family & Consumer Sciences","2023-07",1014.01,2023-07-01
"Family & Consumer Sciences","2023-08",1095.98,2023-08-01
"Family & Consumer Sciences","2023-09",4675.68,2023-09-01
"Family & Consumer Sciences","2023-10",3973.22,2023-10-01
"Family & Consumer Sciences","2023-11",3721.88,2023-11-01
"Family & Consumer Sciences","2023-12",3636.28,2023-12-01
"Family & Consumer Sciences","2024-01",4108.41,2024-01-01
"Family & Consumer Sciences","2024-02",3820.66,2024-02-01
"Family & Consumer Sciences","2024-03",4142.04,2024-03-01
"Family & Consumer Sciences","2024-04",3628.63,2024-04-01
"Family & Consumer Sciences","2024-05",2693.06,2024-05-01
"Family & Consumer Sciences","2024-06",4931.94,2024-06-01
"Family & Consumer Sciences","2024-07",4266.78,2024-07-01
"Family & Consumer Sciences","2024-08",2042.84,2024-08-01
"Family & Consumer Sciences","2024-09",2087.03,2024-09-01
"Family & Consumer Sciences","2024-10",3376.91,2024-10-01
"Family & Consumer Sciences","2024-11",2399.61,2024-11-01
"Family & Consumer Sciences","2024-12",2341.97,2024-12-01
"Family & Consumer Sciences","2025-01",2183.28,2025-01-01
"Family & Consumer Sciences","2025-02",2083.06,2025-02-01
"Family & Consumer Sciences","2025-03",4004.4,2025-03-01
"Family & Consumer Sciences","2025-04",4561.4,2025-04-01
"Family & Consumer Sciences","2025-05",1482.28,2025-05-01
"Family Medicine Residency Programs Casper","2023-07",449.09,2023-07-01
"Family Medicine Residency Programs Casper","2023-08",3123.01,2023-08-01
"Family Medicine Residency Programs Casper","2023-09",68.26,2023-09-01
"Family Medicine Residency Programs Casper","2023-10",385.54,2023-10-01
"Family Medicine Residency Programs Casper","2023-11",491.87,2023-11-01
"Family Medicine Residency Programs Casper","2023-12",705.46,2023-12-01
"Family Medicine Residency Programs Casper","2024-01",6908.34,2024-01-01
"Family Medicine Residency Programs Casper","2024-02",404.24,2024-02-01
"Family Medicine Residency Programs Casper","2024-03",661.77,2024-03-01
"Family Medicine Residency Programs Casper","2024-04",300.18,2024-04-01
"Family Medicine Residency Programs Casper","2024-05",2228.03,2024-05-01
"Family Medicine Residency Programs Casper","2024-06",3302.68,2024-06-01
"Family Medicine Residency Programs Casper","2024-07",245.7,2024-07-01
"Family Medicine Residency Programs Casper","2024-08",472.03,2024-08-01
"Family Medicine Residency Programs Casper","2024-09",170.23,2024-09-01
"Family Medicine Residency Programs Casper","2024-10",170.23,2024-10-01
"Family Medicine Residency Programs Casper","2024-11",178.63,2024-11-01
"Family Medicine Residency Programs Casper","2024-12",8126.71,2024-12-01
"Family Medicine Residency Programs Casper","2025-01",591.56,2025-01-01
"Family Medicine Residency Programs Casper","2025-02",860.06,2025-02-01
"Family Medicine Residency Programs Casper","2025-03",247.33,2025-03-01
"Family Medicine Residency Programs Casper","2025-04",-8472.64,2025-04-01
"Family Medicine Residency Programs Casper","2025-05",395.69,2025-05-01
"Family Medicine Residency Programs Casper","2025-06",53.1,2025-06-01
"Geology & Geophysics","2021-07",61407.46,2021-07-01
"Geology & Geophysics","2021-08",44151.96,2021-08-01
"Geology & Geophysics","2021-09",26077.96,2021-09-01
"Geology & Geophysics","2021-10",27427.73,2021-10-01
"Geology & Geophysics","2021-11",30537.05,2021-11-01
"Geology & Geophysics","2021-12",23146.91,2021-12-01
"Geology & Geophysics","2022-01",30085.92,2022-01-01
"Geology & Geophysics","2022-02",28055.12,2022-02-01
"Geology & Geophysics","2022-03",30502.73,2022-03-01
"Geology & Geophysics","2022-04",28043.98,2022-04-01
"Geology & Geophysics","2022-05",60037.26,2022-05-01
"Geology & Geophysics","2022-06",78892.67,2022-06-01
"Geology & Geophysics","2022-07",52470.04,2022-07-01
"Geology & Geophysics","2022-08",22780.55,2022-08-01
"Geology & Geophysics","2022-09",18139.84,2022-09-01
"Geology & Geophysics","2022-10",17167.29,2022-10-01
"Geology & Geophysics","2022-11",15804.47,2022-11-01
"Geology & Geophysics","2022-12",21487.38,2022-12-01
"Geology & Geophysics","2023-01",21491.49,2023-01-01
"Geology & Geophysics","2023-02",25959.8,2023-02-01
"Geology & Geophysics","2023-03",30515.91,2023-03-01
"Geology & Geophysics","2023-04",23009.14,2023-04-01
"Geology & Geophysics","2023-05",28723.4,2023-05-01
"Geology & Geophysics","2023-06",41025.17,2023-06-01
"Geology & Geophysics","2023-07",91280.71,2023-07-01
"Geology & Geophysics","2023-08",59716.05,2023-08-01
"Geology & Geophysics","2023-09",98301.17,2023-09-01
"Geology & Geophysics","2023-10",14056.01,2023-10-01
"Geology & Geophysics","2023-11",22814.89,2023-11-01
"Geology & Geophysics","2023-12",23323.67,2023-12-01
"Geology & Geophysics","2024-01",19063.03,2024-01-01
"Geology & Geophysics","2024-02",10650.87,2024-02-01
"Geology & Geophysics","2024-03",15390.31,2024-03-01
"Geology & Geophysics","2024-04",22213.01,2024-04-01
"Geology & Geophysics","2024-05",30596.87,2024-05-01
"Geology & Geophysics","2024-06",51761.33,2024-06-01
"Geology & Geophysics","2024-07",46867.39,2024-07-01
"Geology & Geophysics","2024-08",32331.93,2024-08-01
"Geology & Geophysics","2024-09",18613.91,2024-09-01
"Geology & Geophysics","2024-10",33314.15,2024-10-01
"Geology & Geophysics","2024-11",39607.26,2024-11-01
"Geology & Geophysics","2024-12",18577.98,2024-12-01
"Geology & Geophysics","2025-01",15588.99,2025-01-01
"Geology & Geophysics","2025-02",14812.93,2025-02-01
"Geology & Geophysics","2025-03",14852.25,2025-03-01
"Geology & Geophysics","2025-04",16453.8,2025-04-01
"Geology & Geophysics","2025-05",14559.61,2025-05-01
"Geology & Geophysics","2025-06",221.94,2025-06-01
"Haub School of Environment & Natural Resources","2021-07",30845.43,2021-07-01
"Haub School of Environment & Natural Resources","2021-08",23486.34,2021-08-01
"Haub School of Environment & Natural Resources","2021-09",18509.97,2021-09-01
"Haub School of Environment & Natural Resources","2021-10",10280.03,2021-10-01
"Haub School of Environment & Natural Resources","2021-11",8270.34,2021-11-01
"Haub School of Environment & Natural Resources","2021-12",14195.29,2021-12-01
"Haub School of Environment & Natural Resources","2022-01",3573.28,2022-01-01
"Haub School of Environment & Natural Resources","2022-02",9244.94,2022-02-01
"Haub School of Environment & Natural Resources","2022-03",25624.7,2022-03-01
"Haub School of Environment & Natural Resources","2022-04",12808.63,2022-04-01
"Haub School of Environment & Natural Resources","2022-05",28449.89,2022-05-01
"Haub School of Environment & Natural Resources","2022-06",26053.2,2022-06-01
"Haub School of Environment & Natural Resources","2022-07",5895.74,2022-07-01
"Haub School of Environment & Natural Resources","2022-08",8778.85,2022-08-01
"Haub School of Environment & Natural Resources","2022-09",12629.76,2022-09-01
"Haub School of Environment & Natural Resources","2022-10",7427.48,2022-10-01
"Haub School of Environment & Natural Resources","2022-11",8419.97,2022-11-01
"Haub School of Environment & Natural Resources","2022-12",8466.09,2022-12-01
"Haub School of Environment & Natural Resources","2023-01",15456.36,2023-01-01
"Haub School of Environment & Natural Resources","2023-02",6823.66,2023-02-01
"Haub School of Environment & Natural Resources","2023-03",9436.82,2023-03-01
"Haub School of Environment & Natural Resources","2023-04",14787.64,2023-04-01
"Haub School of Environment & Natural Resources","2023-05",25731.58,2023-05-01
"Haub School of Environment & Natural Resources","2023-06",35150.91,2023-06-01
"Haub School of Environment & Natural Resources","2023-07",60159.81,2023-07-01
"Haub School of Environment & Natural Resources","2023-08",23725.35,2023-08-01
"Haub School of Environment & Natural Resources","2023-09",11303,2023-09-01
"Haub School of Environment & Natural Resources","2023-10",10970.35,2023-10-01
"Haub School of Environment & Natural Resources","2023-11",34003.44,2023-11-01
"Haub School of Environment & Natural Resources","2023-12",25408.83,2023-12-01
"Haub School of Environment & Natural Resources","2024-01",12759.11,2024-01-01
"Haub School of Environment & Natural Resources","2024-02",7607.78,2024-02-01
"Haub School of Environment & Natural Resources","2024-03",12374.69,2024-03-01
"Haub School of Environment & Natural Resources","2024-04",11590.67,2024-04-01
"Haub School of Environment & Natural Resources","2024-05",20059.81,2024-05-01
"Haub School of Environment & Natural Resources","2024-06",34486.3,2024-06-01
"Haub School of Environment & Natural Resources","2024-07",49291.51,2024-07-01
"Haub School of Environment & Natural Resources","2024-08",38940.23,2024-08-01
"Haub School of Environment & Natural Resources","2024-09",10585.4,2024-09-01
"Haub School of Environment & Natural Resources","2024-10",15758.07,2024-10-01
"Haub School of Environment & Natural Resources","2024-11",10731.19,2024-11-01
"Haub School of Environment & Natural Resources","2024-12",15168.18,2024-12-01
"Haub School of Environment & Natural Resources","2025-01",13562.74,2025-01-01
"Haub School of Environment & Natural Resources","2025-02",19022.78,2025-02-01
"Haub School of Environment & Natural Resources","2025-03",18074.59,2025-03-01
"Haub School of Environment & Natural Resources","2025-04",12127.1,2025-04-01
"Haub School of Environment & Natural Resources","2025-05",20268.55,2025-05-01
"Haub School of Environment & Natural Resources","2025-06",882.24,2025-06-01
"IMPACT 307","2021-07",7931.77,2021-07-01
"IMPACT 307","2021-08",7828.03,2021-08-01
"IMPACT 307","2021-09",7633.89,2021-09-01
"IMPACT 307","2021-10",27386.59,2021-10-01
"IMPACT 307","2021-11",7859.82,2021-11-01
"IMPACT 307","2021-12",7754.32,2021-12-01
"IMPACT 307","2022-01",8372.63,2022-01-01
"IMPACT 307","2022-02",8812.01,2022-02-01
"IMPACT 307","2022-03",13825.81,2022-03-01
"IMPACT 307","2022-04",8622.31,2022-04-01
"IMPACT 307","2022-05",9328.75,2022-05-01
"IMPACT 307","2022-06",12361,2022-06-01
"IMPACT 307","2022-07",7691.89,2022-07-01
"IMPACT 307","2022-08",7860.06,2022-08-01
"IMPACT 307","2022-09",12839.35,2022-09-01
"IMPACT 307","2022-10",8329.64,2022-10-01
"IMPACT 307","2022-11",13407.09,2022-11-01
"IMPACT 307","2022-12",23490.97,2022-12-01
"IMPACT 307","2023-01",8533.64,2023-01-01
"IMPACT 307","2023-02",12798.4,2023-02-01
"IMPACT 307","2023-03",8508.56,2023-03-01
"IMPACT 307","2023-04",8684.27,2023-04-01
"IMPACT 307","2023-05",8257.56,2023-05-01
"IMPACT 307","2023-06",6454.81,2023-06-01
"IMPACT 307","2023-07",6943.99,2023-07-01
"IMPACT 307","2023-08",8526.01,2023-08-01
"IMPACT 307","2023-09",11878.6,2023-09-01
"IMPACT 307","2023-10",7670.56,2023-10-01
"IMPACT 307","2023-11",8887.28,2023-11-01
"IMPACT 307","2023-12",11592.62,2023-12-01
"IMPACT 307","2024-01",6739.3,2024-01-01
"IMPACT 307","2024-02",5986.56,2024-02-01
"IMPACT 307","2024-03",5950.54,2024-03-01
"IMPACT 307","2024-04",4870.86,2024-04-01
"IMPACT 307","2024-05",4737.06,2024-05-01
"IMPACT 307","2024-06",5303.36,2024-06-01
"IMPACT 307","2024-07",4239.83,2024-07-01
"IMPACT 307","2024-08",508.23,2024-08-01
"IMPACT 307","2024-09",0,2024-09-01
"IMPACT 307","2024-10",626.85,2024-10-01
"IMPACT 307","2024-11",39.1,2024-11-01
"IMPACT 307","2024-12",8.62,2024-12-01
"IMPACT 307","2025-01",195.26,2025-01-01
"IMPACT 307","2025-02",54.06,2025-02-01
"INBRE Program","2021-07",132035.2,2021-07-01
"INBRE Program","2021-08",105260.39,2021-08-01
"INBRE Program","2021-09",68351.05,2021-09-01
"INBRE Program","2021-10",51814.13,2021-10-01
"INBRE Program","2021-11",51009.82,2021-11-01
"INBRE Program","2021-12",52415.87,2021-12-01
"INBRE Program","2022-01",45880.89,2022-01-01
"INBRE Program","2022-02",64317.59,2022-02-01
"INBRE Program","2022-03",91834.7,2022-03-01
"INBRE Program","2022-04",166145.03,2022-04-01
"INBRE Program","2022-05",49322.47,2022-05-01
"INBRE Program","2022-06",87214.19,2022-06-01
"INBRE Program","2022-07",82893.08,2022-07-01
"INBRE Program","2022-08",64260.18,2022-08-01
"INBRE Program","2022-09",70886.01,2022-09-01
"INBRE Program","2022-10",60556.49,2022-10-01
"INBRE Program","2022-11",62125.78,2022-11-01
"INBRE Program","2022-12",53215.6,2022-12-01
"INBRE Program","2023-01",49743.38,2023-01-01
"INBRE Program","2023-02",90128.17,2023-02-01
"INBRE Program","2023-03",70390.43,2023-03-01
"INBRE Program","2023-04",106557.04,2023-04-01
"INBRE Program","2023-05",50570.08,2023-05-01
"INBRE Program","2023-06",64472.35,2023-06-01
"INBRE Program","2023-07",60668.38,2023-07-01
"INBRE Program","2023-08",76597.09,2023-08-01
"INBRE Program","2023-09",58184.71,2023-09-01
"INBRE Program","2023-10",55411.76,2023-10-01
"INBRE Program","2023-11",53690.18,2023-11-01
"INBRE Program","2023-12",47597.94,2023-12-01
"INBRE Program","2024-01",45373.65,2024-01-01
"INBRE Program","2024-02",56705.53,2024-02-01
"INBRE Program","2024-03",88690.34,2024-03-01
"INBRE Program","2024-04",85289.76,2024-04-01
"INBRE Program","2024-05",40437,2024-05-01
"INBRE Program","2024-06",52676.9,2024-06-01
"INBRE Program","2024-07",58400.53,2024-07-01
"INBRE Program","2024-08",68803.23,2024-08-01
"INBRE Program","2024-09",59448.23,2024-09-01
"INBRE Program","2024-10",94554.96,2024-10-01
"INBRE Program","2024-11",52559.89,2024-11-01
"INBRE Program","2024-12",49345.09,2024-12-01
"INBRE Program","2025-01",50630.84,2025-01-01
"INBRE Program","2025-02",285521.42,2025-02-01
"INBRE Program","2025-03",121100.92,2025-03-01
"INBRE Program","2025-04",162377.37,2025-04-01
"INBRE Program","2025-05",37829.32,2025-05-01
"INBRE Program","2025-06",432.54,2025-06-01
"Industry & Strategic Partnerships Office","2024-09",1838.5,2024-09-01
"Industry & Strategic Partnerships Office","2024-10",2336.25,2024-10-01
"Industry & Strategic Partnerships Office","2024-11",2274.94,2024-11-01
"Industry & Strategic Partnerships Office","2024-12",2282.82,2024-12-01
"Industry & Strategic Partnerships Office","2025-01",2473.12,2025-01-01
"Industry & Strategic Partnerships Office","2025-02",1729.22,2025-02-01
"Industry & Strategic Partnerships Office","2025-03",1474.94,2025-03-01
"Industry & Strategic Partnerships Office","2025-04",1406.14,2025-04-01
"Industry & Strategic Partnerships Office","2025-05",1331.76,2025-05-01
"Kinesiology & Health","2021-07",28430.73,2021-07-01
"Kinesiology & Health","2021-08",19633.5,2021-08-01
"Kinesiology & Health","2021-09",5318.04,2021-09-01
"Kinesiology & Health","2021-10",5993.89,2021-10-01
"Kinesiology & Health","2021-11",5370.86,2021-11-01
"Kinesiology & Health","2021-12",5608.34,2021-12-01
"Kinesiology & Health","2022-01",4898.38,2022-01-01
"Kinesiology & Health","2022-02",3898.08,2022-02-01
"Kinesiology & Health","2022-03",6973.32,2022-03-01
"Kinesiology & Health","2022-04",3639.7,2022-04-01
"Kinesiology & Health","2022-05",4292.92,2022-05-01
"Kinesiology & Health","2022-06",10236,2022-06-01
"Kinesiology & Health","2022-07",9491.89,2022-07-01
"Kinesiology & Health","2022-08",20683.88,2022-08-01
"Kinesiology & Health","2022-09",13989.63,2022-09-01
"Kinesiology & Health","2022-10",4223.9,2022-10-01
"Kinesiology & Health","2022-11",12290.04,2022-11-01
"Kinesiology & Health","2022-12",5313.29,2022-12-01
"Kinesiology & Health","2023-01",8455.27,2023-01-01
"Kinesiology & Health","2023-02",5429.99,2023-02-01
"Kinesiology & Health","2023-03",6120.86,2023-03-01
"Kinesiology & Health","2023-04",4002.14,2023-04-01
"Kinesiology & Health","2023-05",2807.27,2023-05-01
"Kinesiology & Health","2023-06",2507.6,2023-06-01
"Kinesiology & Health","2023-07",2694.93,2023-07-01
"Kinesiology & Health","2023-08",11640.93,2023-08-01
"Kinesiology & Health","2023-09",9134.54,2023-09-01
"Kinesiology & Health","2023-10",5808.51,2023-10-01
"Kinesiology & Health","2023-11",3589.82,2023-11-01
