"Project Organization","Expenditure Month Year","Total Expenditure Amount","Expenditure Date"
"Anthropology","2023-08",8782.15,2023-08-01
"Anthropology","2023-09",6100.92,2023-09-01
"Anthropology","2023-10",3973.45,2023-10-01
"Anthropology","2023-11",5219.27,2023-11-01
"Anthropology","2023-12",5830.25,2023-12-01
"Anthropology","2024-01",4956.14,2024-01-01
"Anthropology","2024-02",6517.9,2024-02-01
"Anthropology","2024-03",4017.13,2024-03-01
"Anthropology","2024-04",3145.43,2024-04-01
"Anthropology","2024-05",7082.12,2024-05-01
"Anthropology","2024-06",6586.82,2024-06-01
"Anthropology","2024-07",26217.45,2024-07-01
"Anthropology","2024-08",9693.42,2024-08-01
"Anthropology","2024-09",15302.83,2024-09-01
"Anthropology","2024-10",5058.1,2024-10-01
"Anthropology","2024-11",9289.89,2024-11-01
"Anthropology","2024-12",4220.34,2024-12-01
"Anthropology","2025-01",9703.11,2025-01-01
"Anthropology","2025-02",4792.66,2025-02-01
"Anthropology","2025-03",8432.38,2025-03-01
"Anthropology","2025-04",3917.52,2025-04-01
"Anthropology","2025-05",5008.47,2025-05-01
"Atmospheric Science","2021-07",96240.07,2021-07-01
"Atmospheric Science","2021-08",89560.4,2021-08-01
"Atmospheric Science","2021-09",81199.39,2021-09-01
"Atmospheric Science","2021-10",93200.08,2021-10-01
"Atmospheric Science","2021-11",107406.75,2021-11-01
"Atmospheric Science","2021-12",81929.28,2021-12-01
"Atmospheric Science","2022-01",78450.28,2022-01-01
"Atmospheric Science","2022-02",101604.17,2022-02-01
"Atmospheric Science","2022-03",106924.59,2022-03-01
"Atmospheric Science","2022-04",189306.24,2022-04-01
"Atmospheric Science","2022-05",96358.69,2022-05-01
"Atmospheric Science","2022-06",107677.58,2022-06-01
"Atmospheric Science","2022-07",91352.78,2022-07-01
"Atmospheric Science","2022-08",80722.27,2022-08-01
"Atmospheric Science","2022-09",81778,2022-09-01
"Atmospheric Science","2022-10",82572.64,2022-10-01
"Atmospheric Science","2022-11",67996.92,2022-11-01
"Atmospheric Science","2022-12",66220.01,2022-12-01
"Atmospheric Science","2023-01",80201.19,2023-01-01
"Atmospheric Science","2023-02",56784.22,2023-02-01
"Atmospheric Science","2023-03",52286.11,2023-03-01
"Atmospheric Science","2023-04",56968.28,2023-04-01
"Atmospheric Science","2023-05",80087.56,2023-05-01
"Atmospheric Science","2023-06",91426.2,2023-06-01
"Atmospheric Science","2023-07",115234.36,2023-07-01
"Atmospheric Science","2023-08",99983.51,2023-08-01
"Atmospheric Science","2023-09",79153.59,2023-09-01
"Atmospheric Science","2023-10",77426.59,2023-10-01
"Atmospheric Science","2023-11",84984.02,2023-11-01
"Atmospheric Science","2023-12",75632.01,2023-12-01
"Atmospheric Science","2024-01",89447.34,2024-01-01
"Atmospheric Science","2024-02",97453.8,2024-02-01
"Atmospheric Science","2024-03",115210.47,2024-03-01
"Atmospheric Science","2024-04",94284.54,2024-04-01
"Atmospheric Science","2024-05",128987.43,2024-05-01
"Atmospheric Science","2024-06",98750.29,2024-06-01
"Atmospheric Science","2024-07",157948.25,2024-07-01
"Atmospheric Science","2024-08",104066.46,2024-08-01
"Atmospheric Science","2024-09",95038.55,2024-09-01
"Atmospheric Science","2024-10",113795.72,2024-10-01
"Atmospheric Science","2024-11",96783.16,2024-11-01
"Atmospheric Science","2024-12",92218.64,2024-12-01
"Atmospheric Science","2025-01",104900.47,2025-01-01
"Atmospheric Science","2025-02",91292.72,2025-02-01
"Atmospheric Science","2025-03",92310.7,2025-03-01
"Atmospheric Science","2025-04",89206.26,2025-04-01
"Atmospheric Science","2025-05",103183.17,2025-05-01
"Atmospheric Science","2025-06",213.6,2025-06-01
"Botany","2021-07",67653.62,2021-07-01
"Botany","2021-08",111492.19,2021-08-01
"Botany","2021-09",28521,2021-09-01
"Botany","2021-10",51785.91,2021-10-01
"Botany","2021-11",32072.58,2021-11-01
"Botany","2021-12",27955.17,2021-12-01
"Botany","2022-01",26575.48,2022-01-01
"Botany","2022-02",41270.21,2022-02-01
"Botany","2022-03",28533.3,2022-03-01
"Botany","2022-04",33007.9,2022-04-01
"Botany","2022-05",47976.99,2022-05-01
"Botany","2022-06",62792.71,2022-06-01
"Botany","2022-07",62568.57,2022-07-01
"Botany","2022-08",49769.98,2022-08-01
"Botany","2022-09",35485.78,2022-09-01
"Botany","2022-10",30141.7,2022-10-01
"Botany","2022-11",44407.42,2022-11-01
"Botany","2022-12",38971.08,2022-12-01
"Botany","2023-01",64802.91,2023-01-01
"Botany","2023-02",44163.15,2023-02-01
"Botany","2023-03",42241.09,2023-03-01
"Botany","2023-04",42034.56,2023-04-01
"Botany","2023-05",62669.82,2023-05-01
"Botany","2023-06",53877,2023-06-01
"Botany","2023-07",65181.94,2023-07-01
"Botany","2023-08",39629.31,2023-08-01
"Botany","2023-09",41182.25,2023-09-01
"Botany","2023-10",26979.31,2023-10-01
"Botany","2023-11",37137.76,2023-11-01
"Botany","2023-12",115800.65,2023-12-01
"Botany","2024-01",33114.42,2024-01-01
"Botany","2024-02",37681.72,2024-02-01
"Botany","2024-03",37186.96,2024-03-01
"Botany","2024-04",46443.42,2024-04-01
"Botany","2024-05",70675.43,2024-05-01
"Botany","2024-06",86511.6,2024-06-01
"Botany","2024-07",67917.55,2024-07-01
"Botany","2024-08",58598.84,2024-08-01
"Botany","2024-09",70508.31,2024-09-01
"Botany","2024-10",39287.87,2024-10-01
"Botany","2024-11",-428.8,2024-11-01
"Botany","2024-12",37290.72,2024-12-01
"Botany","2025-01",33417.36,2025-01-01
"Botany","2025-02",44415.18,2025-02-01
"Botany","2025-03",-5907.26,2025-03-01
"Botany","2025-04",26429.92,2025-04-01
"Botany","2025-05",32675.97,2025-05-01
"Botany","2025-06",270.57,2025-06-01
"COB Centers for Excellence","2021-11",4149.66,2021-11-01
"COB Centers for Excellence","2021-12",3997.76,2021-12-01
"COB Centers for Excellence","2022-01",494.84,2022-01-01
"COB Centers for Excellence","2022-02",0,2022-02-01
"COB Centers for Excellence","2022-06",997.2,2022-06-01
"COB Centers for Excellence","2022-07",10369.12,2022-07-01
"COB Centers for Excellence","2022-08",2957.81,2022-08-01
"COB Centers for Excellence","2022-09",5315.48,2022-09-01
"COB Centers for Excellence","2022-10",987.68,2022-10-01
"COB Centers for Excellence","2022-11",422.16,2022-11-01
"COB Centers for Excellence","2022-12",207.2,2022-12-01
"COB Centers for Excellence","2023-01",3766.37,2023-01-01
"COB Centers for Excellence","2023-02",4196.09,2023-02-01
"COB Centers for Excellence","2023-03",2833.17,2023-03-01
"COB Centers for Excellence","2023-04",1106.79,2023-04-01
"COB Centers for Excellence","2023-05",1813.99,2023-05-01
"COB Centers for Excellence","2023-06",5484.64,2023-06-01
"COB Centers for Excellence","2023-07",1685.74,2023-07-01
"COB Centers for Excellence","2023-08",7977.83,2023-08-01
"COB Centers for Excellence","2023-09",10497.59,2023-09-01
"COB Centers for Excellence","2023-10",6138.03,2023-10-01
"COB Centers for Excellence","2023-11",4679.4,2023-11-01
"COB Centers for Excellence","2023-12",1929.32,2023-12-01
"COB Centers for Excellence","2024-02",2890.46,2024-02-01
"COB Centers for Excellence","2024-03",2699.3,2024-03-01
"COB Centers for Excellence","2024-04",6141.66,2024-04-01
"COB Centers for Excellence","2024-05",9654.92,2024-05-01
"COB Centers for Excellence","2024-06",15997.34,2024-06-01
"COB Centers for Excellence","2024-08",9.98,2024-08-01
"COB Centers for Excellence","2024-09",638.37,2024-09-01
"COB Centers for Excellence","2024-10",665.5,2024-10-01
"COB Centers for Excellence","2024-11",608.47,2024-11-01
"COB Centers for Excellence","2024-12",359.07,2024-12-01
"COB Centers for Excellence","2025-01",1605.42,2025-01-01
"COB Centers for Excellence","2025-02",3734.59,2025-02-01
"COB Centers for Excellence","2025-03",8688.79,2025-03-01
"COB Centers for Excellence","2025-04",4945.12,2025-04-01
"COB Centers for Excellence","2025-05",14579.8,2025-05-01
"Campus Recreation","2021-07",387.4,2021-07-01
"Campus Recreation","2021-08",436.18,2021-08-01
"Campus Recreation","2021-09",1275.67,2021-09-01
"Campus Recreation","2021-10",2566.43,2021-10-01
"Campus Recreation","2021-11",1621.61,2021-11-01
"Campus Recreation","2021-12",58.01,2021-12-01
"Campus Recreation","2022-01",98.33,2022-01-01
"Campus Recreation","2022-02",661.32,2022-02-01
"Campus Recreation","2022-03",191.4,2022-03-01
"Campus Recreation","2022-04",352.83,2022-04-01
"Campus Recreation","2022-05",256.31,2022-05-01
"Campus Recreation","2022-06",249.28,2022-06-01
"Campus Recreation","2022-07",156.79,2022-07-01
"Campus Recreation","2022-08",247.41,2022-08-01
"Campus Recreation","2022-09",1046.06,2022-09-01
"Campus Recreation","2022-10",1433.19,2022-10-01
"Campus Recreation","2022-11",1395.52,2022-11-01
"Campus Recreation","2022-12",337.56,2022-12-01
"Campus Recreation","2023-01",668.88,2023-01-01
"Campus Recreation","2023-02",1394.5,2023-02-01
"Campus Recreation","2023-03",1040.23,2023-03-01
"Campus Recreation","2023-04",1032.21,2023-04-01
"Campus Recreation","2023-05",1040.26,2023-05-01
"Campus Recreation","2023-06",536.18,2023-06-01
"Campus Recreation","2023-07",604.89,2023-07-01
"Campus Recreation","2023-08",557.13,2023-08-01
"Campus Recreation","2023-09",843.42,2023-09-01
"Campus Recreation","2023-10",926.41,2023-10-01
"Campus Recreation","2023-11",1360.55,2023-11-01
"Campus Recreation","2023-12",1002.51,2023-12-01
"Campus Recreation","2024-01",721.24,2024-01-01
"Campus Recreation","2024-02",779.77,2024-02-01
"Campus Recreation","2024-03",941.46,2024-03-01
"Campus Recreation","2024-04",846.67,2024-04-01
"Campus Recreation","2024-05",913.75,2024-05-01
"Campus Recreation","2024-06",540.8,2024-06-01
"Campus Recreation","2024-07",572.01,2024-07-01
"Campus Recreation","2024-08",460.06,2024-08-01
"Campus Recreation","2024-09",1033.64,2024-09-01
"Campus Recreation","2024-10",840.23,2024-10-01
"Campus Recreation","2024-11",857.13,2024-11-01
"Campus Recreation","2024-12",937.31,2024-12-01
"Campus Recreation","2025-01",1574.34,2025-01-01
"Campus Recreation","2025-02",1122.9,2025-02-01
"Campus Recreation","2025-03",804.21,2025-03-01
"Campus Recreation","2025-04",883.63,2025-04-01
"Campus Recreation","2025-05",374.46,2025-05-01
"Center of Innovation for Flow through Porous Media","2021-07",-451580.99,2021-07-01
"Center of Innovation for Flow through Porous Media","2021-08",53395.53,2021-08-01
"Center of Innovation for Flow through Porous Media","2021-09",44065.74,2021-09-01
"Center of Innovation for Flow through Porous Media","2021-10",32200.39,2021-10-01
"Center of Innovation for Flow through Porous Media","2021-11",31313.52,2021-11-01
"Center of Innovation for Flow through Porous Media","2021-12",75133.83,2021-12-01
"Center of Innovation for Flow through Porous Media","2022-01",43463.22,2022-01-01
"Center of Innovation for Flow through Porous Media","2022-02",42924.83,2022-02-01
"Center of Innovation for Flow through Porous Media","2022-03",62617.14,2022-03-01
"Center of Innovation for Flow through Porous Media","2022-04",55195.76,2022-04-01
"Center of Innovation for Flow through Porous Media","2022-05",58469.19,2022-05-01
"Center of Innovation for Flow through Porous Media","2022-06",44553,2022-06-01
"Center of Innovation for Flow through Porous Media","2022-07",43060.74,2022-07-01
"Center of Innovation for Flow through Porous Media","2022-08",56585.34,2022-08-01
"Center of Innovation for Flow through Porous Media","2022-09",22635.42,2022-09-01
"Center of Innovation for Flow through Porous Media","2022-10",23551.1,2022-10-01
"Center of Innovation for Flow through Porous Media","2022-11",21419.38,2022-11-01
"Center of Innovation for Flow through Porous Media","2022-12",21920.61,2022-12-01
"Center of Innovation for Flow through Porous Media","2023-01",2211.11,2023-01-01
"Center of Innovation for Flow through Porous Media","2023-02",14600.89,2023-02-01
"Center of Innovation for Flow through Porous Media","2023-03",9947.25,2023-03-01
"Center of Innovation for Flow through Porous Media","2023-04",9919.76,2023-04-01
"Center of Innovation for Flow through Porous Media","2023-05",8251.12,2023-05-01
"Center of Innovation for Flow through Porous Media","2023-06",5790.17,2023-06-01
"Center of Innovation for Flow through Porous Media","2023-07",23450.72,2023-07-01
"Center of Innovation for Flow through Porous Media","2023-08",16354.84,2023-08-01
"Center of Innovation for Flow through Porous Media","2023-09",7071.63,2023-09-01
"Center of Innovation for Flow through Porous Media","2023-10",13830.24,2023-10-01
"Center of Innovation for Flow through Porous Media","2023-11",11100.76,2023-11-01
"Center of Innovation for Flow through Porous Media","2023-12",10953.9,2023-12-01
"Center of Innovation for Flow through Porous Media","2024-01",9927.35,2024-01-01
"Center of Innovation for Flow through Porous Media","2024-02",10682.64,2024-02-01
"Center of Innovation for Flow through Porous Media","2024-03",12598.5,2024-03-01
"Center of Innovation for Flow through Porous Media","2024-04",11149.19,2024-04-01
"Center of Innovation for Flow through Porous Media","2024-05",411900.21,2024-05-01
"Center of Innovation for Flow through Porous Media","2024-06",35545.24,2024-06-01
"Center of Innovation for Flow through Porous Media","2024-07",34287.78,2024-07-01
"Center of Innovation for Flow through Porous Media","2024-08",8470.47,2024-08-01
"Center of Innovation for Flow through Porous Media","2024-09",20680.47,2024-09-01
"Center of Innovation for Flow through Porous Media","2024-10",17587.07,2024-10-01
"Center of Innovation for Flow through Porous Media","2024-11",13802.38,2024-11-01
"Center of Innovation for Flow through Porous Media","2024-12",14116.8,2024-12-01
"Center of Innovation for Flow through Porous Media","2025-01",135928.7,2025-01-01
"Center of Innovation for Flow through Porous Media","2025-02",18809,2025-02-01
"Center of Innovation for Flow through Porous Media","2025-03",9172.58,2025-03-01
"Center of Innovation for Flow through Porous Media","2025-04",91314,2025-04-01
"Center of Innovation for Flow through Porous Media","2025-05",30205.74,2025-05-01
"Center of Innovation for Flow through Porous Media","2025-06",67.86,2025-06-01
"Chemical & Biomedical Engineering","2021-07",39610.03,2021-07-01
"Chemical & Biomedical Engineering","2021-08",23180.18,2021-08-01
"Chemical & Biomedical Engineering","2021-09",15203.12,2021-09-01
"Chemical & Biomedical Engineering","2021-10",16114.99,2021-10-01
"Chemical & Biomedical Engineering","2021-11",19218.58,2021-11-01
"Chemical & Biomedical Engineering","2021-12",12676.62,2021-12-01
"Chemical & Biomedical Engineering","2022-01",22141.11,2022-01-01
"Chemical & Biomedical Engineering","2022-02",11768.21,2022-02-01
"Chemical & Biomedical Engineering","2022-03",15142.04,2022-03-01
"Chemical & Biomedical Engineering","2022-04",16163.49,2022-04-01
"Chemical & Biomedical Engineering","2022-05",39496.36,2022-05-01
"Chemical & Biomedical Engineering","2022-06",53144.3,2022-06-01
"Chemical & Biomedical Engineering","2022-07",40318.85,2022-07-01
"Chemical & Biomedical Engineering","2022-08",9541.74,2022-08-01
"Chemical & Biomedical Engineering","2022-09",7533.74,2022-09-01
"Chemical & Biomedical Engineering","2022-10",7336.25,2022-10-01
"Chemical & Biomedical Engineering","2022-11",18733.32,2022-11-01
"Chemical & Biomedical Engineering","2022-12",14423.03,2022-12-01
"Chemical & Biomedical Engineering","2023-01",11485.93,2023-01-01
"Chemical & Biomedical Engineering","2023-02",2754.22,2023-02-01
