"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Predicted_days_RF","Project Start Date","Predicted_date_RF"
"250517A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",7,3,545,"Spring",4000,59,2025-01-01,2025-03-01
"250539A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",13,4,871,"Spring",140000,54,2025-05-12,2025-07-05
"250568A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,3,153,"Summer",35779.17,36,2025-08-01,2025-09-06
"250578A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",23,3,279,"Spring",6950,18,2025-04-28,2025-05-16
"250581A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",8,5,343,"Spring",3750,64,2025-05-22,2025-07-25
"250584A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,4,396,"Spring",10000,26,2025-05-01,2025-05-27
"250584A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",2,4,396,"Spring",3840.83,81,2025-05-01,2025-07-21
"250616A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,4,364,"Spring",5000,41,2025-04-01,2025-05-12
"250637A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",13,5,1127,"Spring",461010,39,2025-05-30,2025-07-08
"250650A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,4,343,"Spring",0,50,2025-05-22,2025-07-11
"250651A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,344,"Spring",14100,34,2025-05-21,2025-06-24
"250652A0001","Institutions of Higher Education","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",8,4,505,"Spring",0,87,2025-05-13,2025-08-08
"250666A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,4,364,"Summer",51840,44,2025-07-01,2025-08-14
