"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Expense_starting_days"
"240484A0001ICS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,730,"Fall",65000,304
"240484A0001KCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",60000,304
"240484A0002AE","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",36742.52,242
"240484A0002F","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,729,"Fall",101516,192
"240484A0002H","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",66213.6,245
"240485A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,4,730,"Fall",16790,513
"240485A0001AD","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",62247.88,309
"240485A0001ADCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",39854,304
"240485A0001AE","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",1717.81,295
"240485A0001AG","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",126647.82,346
"240485A0001AGCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",183250,208
"240485A0001B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",45634.9,228
"240485A0001BCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",135000,304
"240485A0001C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",144726.64,219
"240485A0001CCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",145000,304
"240485A0001CCS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",15000,374
"240485A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,5,730,"Fall",31011.77,304
"240485A0001D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",99451.18,344
"240485A0001DCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",82000,304
"240485A0001E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",5795,355
"240485A0001ECS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",43000,304
"240485A0001F","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,730,"Fall",71781,481
"240485A0001H","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",96493.48,285
"240485A0001HCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",48000,304
"240485A0001I","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",58148.01,365
"240485A0001ICS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,730,"Fall",40000,304
"240485A0001ICS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",2765.23,429
"240485A0001KCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",50000,304
"240485A0001M","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",44714.28,251
"240485A0001MCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",25000,243
"240485A0002CCS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",21742,213
"240488A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",5,4,685,"Summer",45025,77
"240491A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",23,4,730,"Summer",28735,320
"240491A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,4,730,"Summer",9606.27,365
"240493A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,5,390,"Spring",25000,0
"240508A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",8,7,1094,"Summer",483605,34
"240514A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",24,6,1095,"Summer",120000,183
"240517A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",4,7,548,"Spring",156041.6,67
"240517A0001A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,6,548,"Spring",39010.4,67
"240531A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,5,1826,"Summer",3000,392
"240531A0002","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,5,1962,"Spring",1200,103
"240533A0001A","Industry","Federal","Award Project","UW Grant","Research - Sponsored",6,5,549,"Spring",30997.6,40
"240541A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,5,486,"Spring",134872,90
"240558A0002","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,5,1035,"Spring",1052099,30
"240560A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",3,5,1095,"Summer",80000,151
"240563A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",22,3,1038,"Fall",6080,85
"240565A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",22,3,1038,"Fall",72722,486
"240566A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",22,3,1130,"Fall",510110,380
"240573A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,4,727,"Summer",130000,89
"240576A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",1,10,547,"Fall",63491.4,24
"240576A0001A","Industry","Federal","Award Project","UW Grant","Research - Sponsored",3,10,577,"Fall",541341.6,243
"240579A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",1,4,730,"Fall",13695,334
"240582A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",22,7,730,"Fall",190000,213
"240582A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",22,5,820,"Fall",19223,212
"240582A0001CS1","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",22,5,820,"Fall",13649,212
"240589A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",24,6,1677,"Fall",90000,44
"240591A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",10,6,1826,"Summer",80000,443
"240594A0001","Non Profit/Foundation","Federal","Award Project","UW Grant","Public Service - Sponsored",13,4,635,"Spring",183295.2,56
"240596A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,4,1524,"Fall",456936,12
"240598A0001","Non Profit/Foundation","Federal","Award Project","UW Grant","Public Service - Sponsored",13,8,638,"Spring",87810,181
"240599A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",8,9,364,"Summer",1e+05,101
"240600A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",8,8,730,"Summer",42622,487
"240603A0001","Non Profit/Foundation","Federal","Award Project","UW Grant","Public Service - Sponsored",3,3,699,"Spring",75000,55
"240613A0002","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,8,364,"Fall",25492,241
"240622A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,6,1735,"Spring",30612.84,80
"240627A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",13,6,1095,"Summer",173683.76,214
"240629A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",1,11,1125,"Summer",420303,91
"240631A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",10,4,364,"Summer",735209,0
"240635A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",29,4,525,"Spring",125000,370
"240635A0001A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,4,639,"Fall",93750,484
"240642A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,7,1094,"Fall",450000,157
"240645A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,5,789,"Spring",59136.14,52
"240646A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",8,4,1826,"Spring",112500,66
"240665A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",2,6,960,"Spring",225000,399
"240680A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",10,5,545,"Fall",633751,29
"240683A0001PC","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,2,305,"Spring",17695.29,147
"240684A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",1,5,1096,"Fall",850000,280
"240687A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,5,364,"Fall",126309,60
"240690A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",12,3,1710,"Spring",58995,161
"240691A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",6,8,729,"Summer",120000,26
"240691A0001A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",6,8,729,"Summer",30000,26
"240705A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",7,4,729,"Spring",8500,79
"240706A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,9,364,"Fall",224697.33,59
"240708A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,4,715,"Summer",249889,320
"240711A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,8,1460,"Fall",1050678,109
"240712A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",12,5,853,"Spring",97528,246
"240712A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,5,913,"Summer",21907,175
"240723A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,7,364,"Fall",99962,3
"240724A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,4,913,"Summer",17834,37
"240726A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,4,729,"Summer",48469.74,251
"240731A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,552,"Fall",4500,240
"240738A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,1644,"Summer",40000,244
"240739A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,1644,"Summer",2e+05,23
"240740A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,1644,"Summer",5000,14
"240741A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,1644,"Summer",5000,58
"240743A0003","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,4,913,"Summer",5000,30
"240745A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,1644,"Summer",10000,14
"240746A0001","Non Profit/Foundation","Federal","Award Project","UW Grant","Public Service - Sponsored",1,5,454,"Spring",138481.87,141
"240748A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",7,4,289,"Spring",2500,287
"240750A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,4,1826,"Summer",75979.01,290
"240751A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",1,4,1460,"Fall",108354,60
"240755A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,4,305,"Spring",14753,34
"240758A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,5,364,"Summer",4777.25,16
"240760A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,5,1825,"Fall",60988.68,100
"240761A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,3,1825,"Fall",16536.77,107
"240767A0001","Industry","Federal","Award Project","UW Grant","Public Service - Sponsored",9,3,729,"Spring",260370,152
"240767A0003","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",1,4,364,"Fall",119003,91
"240769A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",1,5,746,"Spring",50000,83
"240784A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,5,464,"Spring",265789.08,3
"240785A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",4,5,455,"Spring",237918.36,59
"240786A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",4,5,455,"Spring",117390,59
"240788A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",6,4,350,"Summer",72000,23
"240789A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,4,730,"Spring",15000,188
"240791A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,5,1080,"Fall",346098,205
"240792A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,8,1001,"Spring",346078,149
"240794A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,4,1276,"Spring",146365.32,136
"240800A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",3,4,486,"Summer",31927,61
"240802A0001","Non Profit/Foundation","Federal","Award Project","UW Grant","Public Service - Sponsored",5,4,335,"Fall",257307.87,23
"240802A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",5,3,335,"Fall",17580,126
"240806A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,4,1613,"Summer",119581,60
"240808A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,4,730,"Summer",13438,46
"240811A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,6,842,"Spring",9523.38,388
"240811A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,3,842,"Spring",446.14,476
"240812A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,5,1700,"Spring",80000,256
"240814A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,5,503,"Spring",34656,38
"240815A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,3,730,"Spring",22565,102
"240817A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,4,1125,"Fall",307371,8
"240819A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,4,760,"Summer",277501,93
"240820A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,4,365,"Summer",20000,173
"240826A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",1,4,729,"Fall",60000,61
"240847A0001","Industry","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,6,273,"Summer",29500,42
"240852A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,5,1085,"Spring",325000,57
"240853A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",2,4,558,"Spring",47348,15
"240853A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",2,4,558,"Spring",2492,28
"240854A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",8,5,306,"Summer",9550,33
"240856A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",8,5,306,"Summer",25000,4
"240857A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",6,4,364,"Fall",638949,31
"240868A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,6,739,"Summer",25000,6
"240868A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,6,739,"Summer",7200,10
"240870A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",22,7,729,"Spring",0,91
"240870A0001A","Industry","Federal","Award Project","UW Grant","Research - Sponsored",22,6,729,"Spring",15590,152
"240870A0001B","Industry","Federal","Award Project","UW Grant","Research - Sponsored",22,6,729,"Spring",197620,91
"240870A0001BPC","Industry","Federal","Award Project","UW Grant","Research - Sponsored",22,6,729,"Spring",14000,204
"240870A0001C","Industry","Federal","Award Project","UW Grant","Research - Sponsored",22,6,819,"Spring",272773,121
"240870A0001CS1","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",22,6,819,"Spring",21440.69,213
"240870A0001CS2","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",22,6,819,"Spring",30154.4,213
"240870A0001CS3","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",22,6,819,"Spring",13418.22,244
"240870A0001CS4","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",22,6,819,"Spring",21490.5,244
"240875A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",6,5,364,"Summer",80011,54
"240878A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",3,3,517,"Spring",68110,39
"240882A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,3,1460,"Fall",342760.5,36
"240883A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",1,6,364,"Summer",10553,182
"240884A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",7,5,411,"Spring",107263,77
"240889A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",8,5,1001,"Fall",99247.82,58
"240891A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,8,364,"Fall",20000,10
"240892A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,5,1094,"Spring",176832,102
"240893A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,8,903,"Summer",113262.54,51
"240896A0001","Non Profit/Foundation","Federal","Award Project","UW Grant","Public Service - Sponsored",2,3,515,"Fall",17653.58,227
"240896A0001PC","Non Profit/Foundation","Federal","Award Project","UW Grant","Public Service - Sponsored",2,3,515,"Fall",17346,227
"240901A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",3,3,700,"Fall",44428.2,365
"240904A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,4,1629,"Spring",66000,297
"240905A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,4,426,"Summer",3944,104
"240905A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",3,3,426,"Summer",4944,114
"240905A0001PC","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,3,426,"Summer",1000,121
"240906A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,4,426,"Summer",6080,22
"240906A0001CS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",2,3,426,"Summer",6080,22
"240911A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,5,545,"Fall",96517,241
"240913A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",10,4,1825,"Spring",96000,101
"240914A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,5,364,"Summer",30000,32
"240917A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",12,3,581,"Spring",106666,15
"240919A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",22,3,456,"Fall",1599771,11
"240919A0001A","State","Federal","Award Project","UW Grant","Public Service - Sponsored",22,3,456,"Fall",401884,2
"240919A0001ACS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",22,3,456,"Fall",100471,2
"240919A0001B","State","Federal","Award Project","UW Grant","Public Service - Sponsored",22,3,456,"Fall",147600,8
"240919A0001BCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",22,3,456,"Fall",36900,8
"240919A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",22,3,456,"Fall",1228678,11
"240920A0002","State","Federal","Award Project","UW Grant","Public Service - Sponsored",22,3,723,"Spring",21520,14
"240920A0002CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",22,3,631,"Spring",5380,14
"240922A0001A","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",29,4,1947,"Spring",151414.5,151
"240922A0001B","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",29,4,1947,"Spring",126702.5,243
"240922A0001C","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",29,4,1947,"Spring",151777.5,151
"240923A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,3,1490,"Fall",697253,3
"240924A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",16,3,2190,"Summer",182157.09,60
"240925A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",4,5,2555,"Fall",778413,15
"240925A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",4,5,364,"Fall",40200,145
"240925A0001B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",4,5,364,"Fall",3005811,24
"240927A0001A","Non Profit/Foundation","Federal","Award Project","UW Grant","Research - Sponsored",7,4,1094,"Fall",18594,271
"240932A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,4,2556,"Spring",4400,512
"240933A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,4,1613,"Summer",161137.19,0
"240934A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,4,306,"Summer",7500,10
"240934A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,4,345,"Spring",7500,1
"240945A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,6,729,"Spring",299999,5
"240946A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,4,729,"Summer",1413800,0
"240951A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,4,609,"Spring",92873.05,42
"240956A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",3,3,1794,"Fall",191300,124
"240956A0002CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",3,3,1794,"Fall",14680,56
"240957A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",4,4,619,"Summer",94000,36
"240959A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,729,"Summer",358937.28,18
"240959A0001A","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,729,"Summer",143793.25,21
"240959A0001B","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,729,"Summer",139158.88,30
"240959A0001C","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,729,"Summer",134670,0
"240959A0001D","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,729,"Summer",129952,30
"240959A0001E","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,729,"Summer",99330,30
"240959A0001F","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,729,"Summer",132150,30
"240959A0001H","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,729,"Summer",107898.19,30
"240959A0001I","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,729,"Summer",529568,4
"240959A0001J","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,729,"Summer",238742,19
"240959A0001K","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,729,"Summer",458508,8
"240960A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",7,3,729,"Summer",62000,61
"240961A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",7,3,729,"Summer",51000,152
"240965A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",5,3,365,"Spring",45000,24
"240971A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,6,231,"Spring",2500,173
"240973A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,3,1024,"Summer",78568.19,324
"240973A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",9,3,1024,"Summer",5142.69,142
"240978A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,5,1767,"Summer",48155,14
"240979A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",25,5,729,"Summer",175000,66
"240980A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",4,4,333,"Summer",220845,35
"240982A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,5,790,"Spring",1016399,113
"240984A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,3,526,"Fall",5000,146
"240985A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,5,1094,"Fall",415755,122
"240986A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",6,6,639,"Spring",50000,115
"240987A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",24,5,1094,"Fall",122176,29
"240992A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,5,247,"Spring",8000,80
"240999A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",7,3,729,"Summer",349254,28
"241000A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",23,6,729,"Summer",88732,0
"241000A0001A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",23,3,729,"Summer",39493,22
"241003A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,3,1095,"Spring",62499,29
"241005A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",4,8,1460,"Fall",250000,55
"241005A0001CS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",4,8,1460,"Fall",106436.66,152
"241006A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,12,289,"Summer",292254.05,46
