"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Expense_starting_days"
"231526A0004E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,5,395,"Spring",30533.81,28
"231526A0004W","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,3,729,"Spring",724525.01,0
"231529A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",1,5,1351,"Spring",53606.4,46
"231532A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,5,1460,"Spring",5699235.22,12
"231532A0001B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,4,364,"Fall",96989.5,30
"231532A0001C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,4,364,"Fall",98533.8,127
"231532A0001D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,5,364,"Fall",78441.35,70
"231532A0001F","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,5,364,"Fall",13400.13,30
"231533A0003","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,4,394,"Spring",163197,3
"231533A0003A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,394,"Spring",94993,6
"231534A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",42,5,731,"Summer",1e+06,55
"231542A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,4,364,"Summer",183817,30
"231549A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,9,1095,"Fall",309982,148
"231552A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",8,5,730,"Spring",3e+05,22
"231553A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,4,730,"Fall",20000,32
"231555A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,4,730,"Fall",60000,30
"231557A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,5,730,"Fall",57831.06,281
"231559A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,5,876,"Summer",150000,267
"231561A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",7,4,822,"Fall",48000,30
"231564A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",12,6,1095,"Summer",193663.93,176
"231567A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,4,818,"Summer",267510,94
"231568A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,6,1095,"Fall",15000,456
"231574A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",1,5,731,"Summer",36031,286
"231578A0002","State","Federal","Award Project","UW Grant","Public Service - Sponsored",13,9,396,"Spring",259000,62
"231581A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",8,9,730,"Spring",151772,128
"231587A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",4,7,1096,"Spring",94348.8,88
"231589A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,7,1090,"Summer",20000,59
"231590A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,6,1125,"Summer",473772,11
"231592A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,5,729,"Spring",397375,15
"231598A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,8,1081,"Spring",710053,116
"231599A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,5,3652,"Fall",4305157,5
"231604A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,6,777,"Summer",62151.53,7
"231611A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,4,1591,"Spring",6e+06,122
"231612A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,7,732,"Summer",39843.94,106
"231614A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,4,1096,"Summer",1362664.6,105
"231615A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,4,1596,"Spring",6276250,85
"231616A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",1,3,714,"Fall",51000,101
"231617A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",4,4,348,"Summer",185670,214
